coso,site,channel,origen
"/7811748/as_mob/us/directo","as","mob","amazonPrisa"
"/7811748/as_mob/us/fotogalerias","as","mob","amazonPrisa"
"/7811748/as_mob/us/futbol","as","mob","amazonPrisa"
"/7811748/as_mob/us/futbol/portada","as","mob","amazonPrisa"
"/7811748/as_mob/us/masdeporte","as","mob","amazonPrisa"
"/7811748/as_mob/us/mlb","as","mob","amazonPrisa"
"/7811748/as_mob/us/mlb/portada","as","mob","amazonPrisa"
"/7811748/as_mob/us/nfl/portada","as","mob","amazonPrisa"
"/7811748/as_mob/us/opinion","as","mob","amazonPrisa"
"/7811748/as_mob/us/portada","as","mob","amazonPrisa"
"/7811748/as_mob/us/reportajes","as","mob","amazonPrisa"
"/7811748/as_mob/us/tikitakas","as","mob","amazonPrisa"
"/7811748/as_mob/us/tikitakas/portada","as","mob","amazonPrisa"
"/7811748/as_mob/us/videos","as","mob","amazonPrisa"
"/7811748/as_mob/videos","as","mob","amazonPrisa"
"/7811748/as_mob/videos/portada","as","mob","amazonPrisa"
"/7811748/as_mob/videos/portada/portada","as","mob","amazonPrisa"
"/7811748/as_nba_mob","as_nba","mob","amazonPrisa"
"/7811748/as_nba_mob/portada","as_nba","mob","amazonPrisa"
"/7811748/as_nba_web","as_nba","web","amazonPrisa"
"/7811748/as_nba_web/portada","as_nba","web","amazonPrisa"
"/7811748/as_web/apuestas/noticias","as","web","amazonPrisa"
"/7811748/as_web/argentina/actualidad","as","web","amazonPrisa"
"/7811748/as_web/argentina/directo","as","web","amazonPrisa"
"/7811748/as_web/argentina/fotogalerias","as","web","amazonPrisa"
"/7811748/as_web/argentina/futbol","as","web","amazonPrisa"
"/7811748/as_web/argentina/infografia","as","web","amazonPrisa"
"/7811748/as_web/argentina/masdeporte","as","web","amazonPrisa"
"/7811748/as_web/argentina/portada","as","web","amazonPrisa"
"/7811748/as_web/argentina/reportajes","as","web","amazonPrisa"
"/7811748/as_web/argentina/tikitakas","as","web","amazonPrisa"
"/7811748/as_web/argentina/videos","as","web","amazonPrisa"
"/7811748/as_web/baloncesto","as_baloncesto","web","amazonPrisa"
"/7811748/as_web/baloncesto/acb","as_baloncesto","web","amazonPrisa"
"/7811748/as_web/baloncesto/copa_del_rey","as_baloncesto","web","amazonPrisa"
"/7811748/as_web/baloncesto/directo","as_baloncesto","web","amazonPrisa"
"/7811748/as_web/baloncesto/eurocup","as_baloncesto","web","amazonPrisa"
"/7811748/as_web/baloncesto/euroliga","as_baloncesto","web","amazonPrisa"
"/7811748/as_web/baloncesto/infografia","as_baloncesto","web","amazonPrisa"
"/7811748/as_web/baloncesto/mas_baloncesto","as_baloncesto","web","amazonPrisa"
"/7811748/as_web/baloncesto/mundial","as_baloncesto","web","amazonPrisa"
"/7811748/as_web/baloncesto/reportajes","as_baloncesto","web","amazonPrisa"
"/7811748/as_web/baloncesto/videos","as_baloncesto","web","amazonPrisa"
"/7811748/as_web/buenavida","as_buenavida","web","amazonPrisa"
"/7811748/as_web/buenavida/fotorrelato/portada","as_buenavida","web","amazonPrisa"
"/7811748/as_web/buscador","as","web","amazonPrisa"
"/7811748/as_web/chile/deporte_femenino","as","web","amazonPrisa"
"/7811748/as_web/chile/deportes_aventura","as","web","amazonPrisa"
