coso	site	channel	format	origen
/7811748/biwenger_nba_app/android/player-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/players-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/players-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/players-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/pools-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/pools-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/record-book-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/record-book-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/record-book-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/r-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/r-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/r-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/round-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/round-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/round-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/round-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/seasonStats-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/seasonStats-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/seasonStats-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/settings-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/squad-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/squad-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/squad-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/squad-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/stats-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/stats-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/team-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/team-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/team-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/team-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/tournament-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/tournament-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/tournament-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/user-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/user-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/user-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/user-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/account-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/challenges-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/challenges-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/comparator-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/comparator-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/comparator-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/comparator-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/draft-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/draft-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/draft-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/group-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/group-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/group-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/home-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/iphone/home-mpu1	biwenger_nba	app	display	criteoSubid
